,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA260220P00050000,2026-01-16 17:46:24+00:00,50.0,0.01,0.0,0.01,0.0,0.0,35.0,6391,1.2812535937499998,False,REGULAR,USD
1,NVDA260220P00055000,2026-01-15 17:27:50+00:00,55.0,0.01,0.0,0.01,0.0,0.0,20.0,874,1.1875040625,False,REGULAR,USD
2,NVDA260220P00060000,2026-01-15 20:06:15+00:00,60.0,0.01,0.0,0.02,0.0,0.0,5.0,2084,1.1875040625,False,REGULAR,USD
3,NVDA260220P00065000,2026-01-16 19:43:12+00:00,65.0,0.01,0.0,0.02,0.0,0.0,10.0,832,1.09375453125,False,REGULAR,USD
4,NVDA260220P00070000,2026-01-16 15:08:33+00:00,70.0,0.02,0.01,0.02,0.0,0.0,20.0,1352,1.0625046875000002,False,REGULAR,USD
5,NVDA260220P00075000,2026-01-16 14:38:55+00:00,75.0,0.02,0.02,0.03,0.0,0.0,20.0,898,1.0312548437500002,False,REGULAR,USD
6,NVDA260220P00080000,2026-01-16 17:54:31+00:00,80.0,0.03,0.02,0.03,0.0,0.0,10.0,1597,0.9648441015625,False,REGULAR,USD
7,NVDA260220P00085000,2026-01-16 17:05:06+00:00,85.0,0.04,0.03,0.04,0.01,33.333336,67.0,4455,0.929688203125,False,REGULAR,USD
8,NVDA260220P00090000,2026-01-16 16:32:10+00:00,90.0,0.06,0.04,0.05,0.02,50.0,10.0,2314,0.8867198828124999,False,REGULAR,USD
9,NVDA260220P00095000,2026-01-16 20:10:15+00:00,95.0,0.05,0.05,0.07,-0.009999998,-16.666664,7.0,3246,0.851563984375,False,REGULAR,USD
10,NVDA260220P00100000,2026-01-16 20:11:12+00:00,100.0,0.07,0.07,0.08,0.010000002,16.66667,386.0,25909,0.8125018749999999,False,REGULAR,USD
11,NVDA260220P00105000,2026-01-16 15:26:33+00:00,105.0,0.09,0.08,0.09,0.020000003,28.571432,201.0,1939,0.7656273437500001,False,REGULAR,USD
12,NVDA260220P00110000,2026-01-16 19:50:52+00:00,110.0,0.09,0.09,0.11,0.0,0.0,163.0,6350,0.7226590234375,False,REGULAR,USD
13,NVDA260220P00115000,2026-01-16 20:56:21+00:00,115.0,0.11,0.11,0.12,0.009999998,9.999998,580.0,3481,0.6796907031250001,False,REGULAR,USD
14,NVDA260220P00120000,2026-01-16 20:21:57+00:00,120.0,0.13,0.13,0.14,0.009999998,8.333332,155.0,18079,0.63867548828125,False,REGULAR,USD
15,NVDA260220P00125000,2026-01-16 20:54:41+00:00,125.0,0.16,0.15,0.17,0.00999999,6.6666603,922.0,13661,0.5996133789062501,False,REGULAR,USD
16,NVDA260220P00130000,2026-01-16 20:48:50+00:00,130.0,0.18,0.19,0.2,0.0,0.0,2922.0,24425,0.5634809277343751,False,REGULAR,USD
17,NVDA260220P00135000,2026-01-16 20:53:54+00:00,135.0,0.24,0.23,0.24,0.030000001,14.285715,539.0,9947,0.526371923828125,False,REGULAR,USD
18,NVDA260220P00140000,2026-01-16 20:55:56+00:00,140.0,0.3,0.3,0.31,0.030000001,11.111112,1356.0,39479,0.4975636181640626,False,REGULAR,USD
19,NVDA260220P00145000,2026-01-16 20:59:39+00:00,145.0,0.4,0.4,0.42,0.050000012,14.285718,367.0,14128,0.47070841796875,False,REGULAR,USD
20,NVDA260220P00150000,2026-01-16 20:56:49+00:00,150.0,0.55,0.56,0.57,0.00999999,1.85185,828.0,38711,0.44434149414062496,False,REGULAR,USD
21,NVDA260220P00155000,2026-01-16 20:59:42+00:00,155.0,0.8,0.8,0.82,0.050000012,6.6666684,1039.0,35765,0.42407802490234375,False,REGULAR,USD
22,NVDA260220P00160000,2026-01-16 20:59:55+00:00,160.0,1.21,1.19,1.21,0.09000003,8.035717,1798.0,50214,0.407232490234375,False,REGULAR,USD
23,NVDA260220P00165000,2026-01-16 20:59:53+00:00,165.0,1.78,1.77,1.79,0.110000014,6.5868273,1295.0,29313,0.3927062683105469,False,REGULAR,USD
24,NVDA260220P00170000,2026-01-16 20:59:55+00:00,170.0,2.61,2.59,2.62,0.12999988,5.2419305,3296.0,31201,0.3795228063964844,False,REGULAR,USD
25,NVDA260220P00175000,2026-01-16 20:59:53+00:00,175.0,3.74,3.7,3.8,0.17000008,4.761907,7923.0,24191,0.36890279541015625,False,REGULAR,USD
26,NVDA260220P00180000,2026-01-16 20:59:32+00:00,180.0,5.33,5.25,5.3,0.25999975,5.1282,5523.0,61805,0.35535312622070303,False,REGULAR,USD
27,NVDA260220P00185000,2026-01-16 20:56:32+00:00,185.0,7.23,7.25,7.3,0.13999987,1.9746102,2819.0,41797,0.344733115234375,False,REGULAR,USD
28,NVDA260220P00190000,2026-01-16 20:59:27+00:00,190.0,9.8,9.75,9.85,0.3000002,3.157897,3027.0,18338,0.33673758972167966,True,REGULAR,USD
29,NVDA260220P00195000,2026-01-16 20:34:44+00:00,195.0,12.64,12.8,12.9,0.24000072,1.9354899,367.0,12908,0.3288641333007812,True,REGULAR,USD
30,NVDA260220P00200000,2026-01-16 20:54:53+00:00,200.0,15.45,16.25,16.45,-0.6999998,-4.334364,190.0,9307,0.32227240234374993,True,REGULAR,USD
31,NVDA260220P00210000,2026-01-16 18:45:17+00:00,210.0,22.72,24.35,24.75,-1.6800003,-6.8852468,16.0,5280,0.3122627368164062,True,REGULAR,USD
32,NVDA260220P00220000,2026-01-16 19:13:21+00:00,220.0,32.11,33.45,34.45,-0.5,-1.5332719,14.0,2098,0.36157864990234373,True,REGULAR,USD
33,NVDA260220P00230000,2026-01-14 19:42:07+00:00,230.0,41.92,43.4,44.25,-6.1800003,-12.848234,150.0,90,0.4030821411132813,True,REGULAR,USD
34,NVDA260220P00240000,2026-01-15 20:20:05+00:00,240.0,52.3,53.0,54.75,0.0,0.0,1.0,0,0.5385788330078126,True,REGULAR,USD
35,NVDA260220P00250000,2026-01-15 20:53:00+00:00,250.0,62.75,63.0,64.65,0.0,0.0,8.0,5,0.5891154370117189,True,REGULAR,USD
36,NVDA260220P00260000,2026-01-15 20:53:00+00:00,260.0,72.77,73.0,74.75,0.0,0.0,7.0,0,0.6626010302734376,True,REGULAR,USD
37,NVDA260220P00270000,2025-12-19 20:40:11+00:00,270.0,89.53,83.0,84.65,0.0,0.0,1.0,0,0.7041045214843751,True,REGULAR,USD
38,NVDA260220P00280000,2026-01-15 20:47:34+00:00,280.0,92.6,93.0,94.45,0.0,0.0,1.0,3,0.7221707470703125,True,REGULAR,USD
39,NVDA260220P00290000,2026-01-15 20:47:34+00:00,290.0,102.6,103.0,104.75,0.0,0.0,1.0,0,0.5908244042968751,True,REGULAR,USD
40,NVDA260220P00300000,2025-11-03 15:29:07+00:00,300.0,92.5,111.6,113.45,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
41,NVDA260220P00310000,2025-10-29 14:45:17+00:00,310.0,100.4,127.6,129.55,0.0,0.0,35.0,0,1.3106723919677732,True,REGULAR,USD
42,NVDA260220P00320000,2025-11-03 15:33:21+00:00,320.0,112.1,131.6,133.45,0.0,0.0,33.0,0,1.0000000000000003e-05,True,REGULAR,USD
43,NVDA260220P00330000,2025-11-03 14:47:26+00:00,330.0,121.68,141.95,143.4,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD
44,NVDA260220P00340000,2025-10-29 13:52:06+00:00,340.0,129.56,157.6,159.55,0.0,0.0,,0,1.4641140075683592,True,REGULAR,USD
